Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
8/10/2017,674.95,677.85,646.35,656.25,662.06,2312,166,1530677,1461,63.19,31.5,-18.7
8/9/2017,685.1,695.05,670.1,676.05,682.75,2128,104,1452890,1439,67.62,24.95,-9.05
8/8/2017,704,704,686.6,694.3,696.03,479,43,333396,295,61.59,17.4,-9.7
8/7/2017,710,712,697.95,706,704.98,2521,155,1777251,1796,71.24,14.05,-4
8/4/2017,699,710,691,709.2,705.21,2537,97,1789108,2213,87.23,19,10.2
8/3/2017,705.15,708,697.95,705.05,704.12,1804,77,1270228,1338,74.17,10.05,-0.1
8/2/2017,700.05,713.6,699,710.65,708.53,4491,220,3181986,3136,69.83,14.6,10.6
8/1/2017,717,717,678.85,706,699.2,8257,750,5773259,4596,55.66,38.15,-11
7/31/2017,714,717,707.4,714.35,712.2,3870,220,2756203,2308,59.64,9.6,0.35
7/28/2017,680,712.5,680,710.3,706.64,13180,637,9313504,7115,53.98,32.5,30.3
7/27/2017,695,721,667,678.65,692.89,6484,487,4492699,2307,35.58,54,-16.35
7/26/2017,660,746.5,660,691.35,709.36,30980,2052,21975976,9473,30.58,86.5,31.35
7/25/2017,651.35,663,650,660.7,654.42,2397,102,1568645,1708,71.26,13,9.35
7/24/2017,640.1,660,640.1,651.5,649.78,430,43,279406,258,60,19.9,11.4
7/21/2017,645.05,655,644.95,648.95,649.04,757,54,491322,564,74.5,10.05,3.9
7/20/2017,650,655,640.1,649,652,1490,34,971477,1446,97.05,14.9,-1
7/19/2017,673.95,673.95,632.9,649.95,650.05,1249,76,811912,826,66.13,41.05,-24
7/18/2017,625.5,647.7,625,637,634.63,1354,77,859286,1135,83.83,22.7,11.5
7/17/2017,626.6,637.05,621,632.8,631.38,1699,92,1072722,880,51.8,16.05,6.2
7/14/2017,651,651,631.6,641.8,638.19,1239,58,790715,1009,81.44,19.4,-9.2
7/13/2017,666,669.9,645.25,647.1,658.49,1722,160,1133926,998,57.96,24.65,-18.9
7/12/2017,655.05,679,655.05,669.85,670.55,4912,157,3293741,4199,85.48,23.95,14.8
7/11/2017,662,666.6,645.2,653.2,660.75,2218,120,1465554,1458,65.73,21.4,-8.8
7/10/2017,658,669,650,664.45,660.08,7645,244,5046322,6572,85.96,19,6.45
7/7/2017,622.25,661,621.65,655.2,652.57,5552,236,3623058,3228,58.14,39.35,32.95
7/6/2017,632.05,632.55,623.05,625,628.56,493,23,309881,306,62.07,9.5,-7.05
7/5/2017,624,641.7,623.8,630.3,630.95,1128,77,711712,596,52.84,17.9,6.3
7/4/2017,628,630.85,617,620.2,621.21,1070,42,664692,679,63.46,13.85,-7.8
7/3/2017,615.05,634,615.05,632.15,628.37,146,25,91742,128,87.67,18.95,17.1
6/30/2017,620,625,617,619.3,619.33,440,17,272504,238,54.09,8,-0.7
6/29/2017,616.05,625,605.5,621.5,617.93,3805,98,2351233,1784,46.89,19.5,5.45
6/28/2017,620,620,608,609.55,612.62,1700,89,1041460,1050,61.76,12,-10.45
6/27/2017,629.45,629.45,612,615.25,616.21,1444,75,889801,1235,85.53,17.45,-14.2
6/23/2017,634,634,612,622.95,624.74,4693,112,2931897,732,15.6,22,-11.05
6/22/2017,640.1,644.35,635.45,640.45,640.28,535,21,342551,392,73.27,8.9,0.35
6/21/2017,648,648,640,640.15,641.39,992,46,636259,860,86.69,8,-7.85
6/20/2017,639,650,631,639.75,640.14,3761,134,2407574,2871,76.34,19,0.75
6/19/2017,630,644.95,624.05,634.85,632.26,1313,70,830160,986,75.1,20.9,4.85
6/16/2017,628,630,621,630,625.54,1543,34,965203,1410,91.38,9,2
6/15/2017,628.85,633,624.95,629,627.61,1287,69,807739,1111,86.32,8.05,0.15
6/14/2017,623.95,628.45,623.95,627.1,625.39,1093,47,683555,920,84.17,4.5,3.15
6/13/2017,621,627,617.1,622.95,621.92,689,41,428500,516,74.89,9.9,1.95
6/12/2017,625,634.9,621,621.45,628.19,2264,35,1422226,274,12.1,13.9,-3.55
6/9/2017,626,630.9,621.1,628.75,626.62,2768,67,1734473,2355,85.08,9.8,2.75
6/8/2017,625.2,629.75,622,627.9,626.66,572,23,358447,524,91.61,7.75,2.7
6/7/2017,627,629.45,620,627,625.4,1017,90,636032,649,63.82,9.45,0
6/6/2017,623,629.2,623,626.25,626.25,1253,55,784686,1035,82.6,6.2,3.25
6/5/2017,625.1,631.5,622,622.7,625.06,898,51,561303,655,72.94,9.5,-2.4
6/2/2017,621,638,620,625.1,630.91,3522,122,2222058,1542,43.78,18,4.1
6/1/2017,621.1,630,620,621.5,622.65,2008,78,1250280,1447,72.06,10,0.4
5/31/2017,636.35,636.35,621,625.05,629.03,2839,177,1785818,1785,62.87,15.35,-11.3
5/30/2017,665,665,628,643.1,642.51,5947,449,3821016,3247,54.6,37,-21.9
5/29/2017,650,670,637,665,651.19,3075,123,2002420,1613,52.46,33,15
5/26/2017,653.1,670,640,659.75,655.01,6165,227,4038140,1414,22.94,30,6.65
5/25/2017,634.7,653,630,635.6,639.39,2669,94,1706531,1192,44.66,23,0.9
5/24/2017,651.1,655,625.25,636.75,637.06,2360,95,1503457,1393,59.03,29.75,-14.35
5/23/2017,662.5,662.5,645,646.4,651.18,1350,55,879091,921,68.22,17.5,-16.1
5/22/2017,655,672.8,654,662.3,662.88,3375,140,2237224,2470,73.19,18.8,7.3
5/19/2017,653.2,679,648.6,659.15,660.11,5708,235,3767933,3036,53.19,30.4,5.95
5/18/2017,650,658.05,640,641.5,649.53,2028,90,1317250,1359,67.01,18.05,-8.5
5/17/2017,665,665,653.5,655.45,659.96,1721,83,1135798,1211,70.37,11.5,-9.55
5/16/2017,659,672.05,652,655.6,661.99,3557,124,2354702,2260,63.54,20.05,-3.4
5/15/2017,653,659,650.05,652.95,653.2,908,54,593104,716,78.85,8.95,-0.05
5/12/2017,658,660,644.5,645.95,649.74,1206,40,783591,844,69.98,15.5,-12.05
5/11/2017,675,679.5,656,665.15,670.24,1879,88,1259390,1277,67.96,23.5,-9.85
5/10/2017,666.95,680,660,669.5,671.47,4862,203,3264680,2747,56.5,20,2.55
5/9/2017,640,662,637,651.95,648.86,2201,99,1428147,1427,64.83,25,11.95
5/8/2017,649,654.95,637,639.65,646.19,1070,48,691419,663,61.96,17.95,-9.35
5/5/2017,646.6,655.6,635,635.4,642.19,2441,103,1567579,1327,54.36,20.6,-11.2
5/4/2017,648.1,659.95,640.5,644.1,647.4,5593,204,3620886,4100,73.31,19.45,-4
5/3/2017,620.05,659.8,620.05,647.25,648.48,1922,191,1246380,1591,82.78,39.75,27.2
5/2/2017,671.95,671.95,645.5,651.55,657.94,4409,170,2900864,4182,94.85,26.45,-20.4
4/28/2017,668,672,660.95,663.1,665.61,1665,130,1108248,975,58.56,11.05,-4.9
4/27/2017,661.65,672.95,652.55,661.15,661.68,3490,114,2309272,2091,59.91,20.4,-0.5
4/26/2017,690,693.35,651.5,665.35,676.59,3900,169,2638686,2690,68.97,41.85,-24.65
4/25/2017,676.8,693,668,685.1,683.56,9138,562,6246326,4909,53.72,25,8.3
4/24/2017,630.05,680,630.05,673.45,666.14,25027,1245,16671478,11733,46.88,49.95,43.4
4/21/2017,633.8,636,624,630.45,631.05,6396,296,4036192,4681,73.19,12,-3.35
4/20/2017,610.05,625,609.1,618.45,616,4424,137,2725178,3560,80.47,15.9,8.4
4/19/2017,619,619,606,609.85,611.64,1557,92,952316,841,54.01,13,-9.15
4/18/2017,614,619.2,609,612.55,614.99,5271,201,3241594,2030,38.51,10.2,-1.45
4/17/2017,605,630.75,602.35,606.3,605.54,352735,794,213596468,343456,97.37,28.4,1.3
4/13/2017,600,611,598.1,608.25,606.55,3293,212,1997363,2183,66.29,12.9,8.25
4/12/2017,619.6,619.6,606,610.2,610.58,1526,73,931741,1088,71.3,13.6,-9.4
4/11/2017,611,614.85,607.05,611.45,609.66,1269,64,773663,858,67.61,7.8,0.45
4/10/2017,592,616.7,592,605.2,608.74,4707,207,2865324,3082,65.48,24.7,13.2
4/7/2017,606,615,576.45,591.9,600.18,166083,512,99679894,157731,94.97,38.55,-14.1
4/6/2017,600,605,590,597.55,596.25,1704,75,1016009,897,52.64,15,-2.45
4/5/2017,590,618.75,590,600.5,608.9,4400,247,2679142,2486,56.5,28.75,10.5
4/3/2017,597.9,598,586.5,589.35,592.93,1839,113,1090404,1191,64.76,11.5,-8.55
3/31/2017,582.85,597.9,582.15,584.8,586.34,4825,275,2829097,2110,43.73,15.75,1.95
3/30/2017,580,585,575.5,576.3,576.98,1287,48,742573,1228,95.42,9.5,-3.7
3/29/2017,578.5,585,577.25,578,580.06,1597,77,926350,1141,71.45,7.75,-0.5
3/28/2017,585,585,579.95,580,582.13,1187,55,690993,1133,95.45,5.05,-5
3/27/2017,586.95,592.55,576.1,576.8,579.84,1669,84,967750,1287,77.11,16.45,-10.15
3/24/2017,587.45,595,578.75,589.9,587.36,4900,156,2878057,3290,67.14,16.25,2.45
3/23/2017,589,595,580.75,581.85,586.93,1146,93,672620,448,39.09,14.25,-7.15
3/22/2017,586,596.6,583.5,583.95,585.04,1620,40,947760,1305,80.56,13.1,-2.05
3/21/2017,587.35,599.5,580,594.05,584.28,2034,93,1188424,1413,69.47,19.5,6.7
3/20/2017,585,607,581,585.3,596.72,2350,197,1402283,1774,75.49,26,0.3
3/17/2017,567,590,560,585.05,576.86,2026,90,1168728,1534,75.72,30,18.05
3/16/2017,578.85,578.85,567,569.65,570.85,2785,103,1589813,2082,74.76,11.85,-9.2
3/15/2017,583.05,583.05,570.5,572.9,578.27,3185,165,1841786,2179,68.41,12.55,-10.15
3/14/2017,590.5,590.5,580,585.55,585.34,2104,138,1231563,1591,75.62,10.5,-4.95
3/10/2017,598,598,587,589.2,590.74,2296,84,1356330,1969,85.76,11,-8.8
